-20969558285	+	20969548318	=	-9967
-577665168	+	577655202	=	-9966
-5748413274	+	5748403400	=	-9874
49930383055	+	-49930392928	=	-9873
55910430548	+	-55910440328	=	-9780
-39007760556	+	39007750777	=	-9779
38183071062	+	-38183080749	=	-9687
-56284095513	+	56284085827	=	-9686
87166386277	+	-87166395871	=	-9594
-27007643379	+	27007633786	=	-9593
44854434553	+	-44854444054	=	-9501
48409097245	+	-48409106745	=	-9500
43455354656	+	-43455364064	=	-9408
4308043282	+	-4308052689	=	-9407
52219583816	+	-52219593131	=	-9315
-32143863073	+	32143853759	=	-9314
44028247959	+	-44028257181	=	-9222
-56847218125	+	56847208904	=	-9221
895552570	+	-895561698	=	-9128
-92552767318	+	92552758191	=	-9127
-96356349903	+	96356340868	=	-9035
-23933439294	+	23933430260	=	-9034
35008728846	+	-35008737788	=	-8942
-24008752743	+	24008743802	=	-8941
-6645142803	+	6645133954	=	-8849
-48891251883	+	48891243035	=	-8848
-32141432694	+	32141423938	=	-8756
19638437647	+	-19638446402	=	-8755
-1196818381	+	1196809718	=	-8663
864787726	+	-864796388	=	-8662
-76141133056	+	76141124486	=	-8570
18591903205	+	-18591911774	=	-8569
-61887606496	+	61887598019	=	-8477
-17379056811	+	17379048335	=	-8476
-92915652410	+	92915644027	=	-8383
84092271693	+	-84092280075	=	-8382
-82942438118	+	82942429828	=	-8290
-45414623034	+	45414614745	=	-8289
-72113913751	+	72113905554	=	-8197
-26642097592	+	26642089396	=	-8196
43265747345	+	-43265755449	=	-8104
-92558231574	+	92558223471	=	-8103
-19398267344	+	19398259333	=	-8011
-78254252383	+	78254244373	=	-8010
-65957012385	+	65957004467	=	-7918
74793839815	+	-74793847732	=	-7917
91175347841	+	-91175355666	=	-7825
-32454183480	+	32454175656	=	-7824
-60829224699	+	60829216968	=	-7731
22024337166	+	-22024344896	=	-7730
-7462996016	+	7462988378	=	-7638
-11869722750	+	11869715113	=	-7637
4724504102	+	-4724511647	=	-7545
-30779454080	+	30779446536	=	-7544
56662804333	+	-56662811785	=	-7452
-62405114883	+	62405107432	=	-7451
73767471580	+	-73767478939	=	-7359
38962260512	+	-38962267870	=	-7358
67849391031	+	-67849398297	=	-7266
-62700311450	+	62700304185	=	-7265
-57502794992	+	57502787819	=	-7173
56638772765	+	-56638779937	=	-7172
-42621049818	+	42621042738	=	-7080
5255952340	+	-5255959419	=	-7079
-12727838435	+	12727831449	=	-6986
90935296561	+	-90935303546	=	-6985
70948539753	+	-70948546646	=	-6893
-61190079414	+	61190072522	=	-6892
-80856975812	+	80856969012	=	-6800
-46090524898	+	46090518099	=	-6799
-62368478423	+	62368471716	=	-6707
-49869232788	+	49869226082	=	-6706
-46634681685	+	46634675071	=	-6614
59388205017	+	-59388211630	=	-6613
-90056680698	+	90056674177	=	-6521
-59396055415	+	59396048895	=	-6520
-25145697001	+	25145690573	=	-6428
52288408462	+	-52288414889	=	-6427
82768133274	+	-82768139608	=	-6334
-19183763638	+	19183757397	=	-6241
48081109928	+	-48081116168	=	-6240
86926068266	+	-86926074414	=	-6148
72628793387	+	-72628799534	=	-6147
67722119748	+	-67722125803	=	-6055
-79940662617	+	79940656563	=	-6054
5049591746	+	-5049597708	=	-5962
-18514783270	+	18514777309	=	-5961
60834656171	+	-60834662040	=	-5869
47440616855	+	-47440622723	=	-5868
-85063959652	+	85063953876	=	-5776
69310350981	+	-69310356756	=	-5775
51602763566	+	-51602769249	=	-5683
-91264607754	+	91264602072	=	-5682
67625012419	+	-67625018008	=	-5589
-34372635714	+	34372630126	=	-5588
-63157431392	+	63157425896	=	-5496
19970487114	+	-19970492609	=	-5495
16581903638	+	-16581909041	=	-5403
24504175188	+	-24504180590	=	-5402
5417049911	+	-5417055221	=	-5310
-44661532317	+	44661527008	=	-5309
-59467817266	+	59467812049	=	-5217
-65853228311	+	65853223095	=	-5216
43996368508	+	-43996373632	=	-5124
70033225496	+	-70033230619	=	-5123
-14125588311	+	14125583280	=	-5031
92832111750	+	-92832116780	=	-5030
-4907550992	+	4907546054	=	-4938
-32454183480	+	32454178543	=	-4937
-39034357639	+	39034352795	=	-4844
-61389659141	+	61389654298	=	-4843
-32074952933	+	32074948182	=	-4751
76737615269	+	-76737620019	=	-4750
83434756464	+	-83434761122	=	-4658
43725632943	+	-43725637600	=	-4657
-96122525259	+	96122520694	=	-4565
-85374647279	+	85374642715	=	-4564
75194093014	+	-75194097486	=	-4472
3361361987	+	-3361366458	=	-4471
-16648759655	+	16648755276	=	-4379
-28144974601	+	28144970223	=	-4378
-93536107892	+	93536103606	=	-4286
-89173929482	+	89173925197	=	-4285
-40063983547	+	40063979355	=	-4192
38833909267	+	-38833913458	=	-4191
-30431267215	+	30431263116	=	-4099
52874642868	+	-52874646966	=	-4098
-70907052873	+	70907048867	=	-4006
-9767551585	+	9767547580	=	-4005
-97355158254	+	97355154341	=	-3913
72514827257	+	-72514831169	=	-3912
-60445479193	+	60445475373	=	-3820
70423546233	+	-70423550052	=	-3819
67359020638	+	-67359024365	=	-3727
12850832246	+	-12850835972	=	-3726
-35486449924	+	35486446290	=	-3634
5355299592	+	-5355303225	=	-3633
92297421950	+	-92297425491	=	-3541
-76389732388	+	76389728848	=	-3540
37771689490	+	-37771692937	=	-3447
62150513270	+	-62150516716	=	-3446
45131578643	+	-45131581997	=	-3354
-21386490260	+	21386486907	=	-3353
52528356086	+	-52528359347	=	-3261
-68720305138	+	68720301878	=	-3260
-23980530596	+	23980527428	=	-3168
93890508168	+	-93890511335	=	-3167
68095952443	+	-68095955518	=	-3075
87001621065	+	-87001624139	=	-3074
-67164922305	+	67164919323	=	-2982
60328115597	+	-60328118578	=	-2981
-2747852404	+	2747849515	=	-2889
64683600498	+	-64683603386	=	-2888
83669044162	+	-83669046957	=	-2795
-46976509945	+	46976507151	=	-2794
-30431267215	+	30431264513	=	-2702
76762921259	+	-76762923960	=	-2701
17027418183	+	-17027420792	=	-2609
77490400233	+	-77490402841	=	-2608
-94466943944	+	94466941428	=	-2516
-56284095513	+	56284092998	=	-2515
-37362385606	+	37362383183	=	-2423
7118043446	+	-7118045868	=	-2422
44166296321	+	-44166298651	=	-2330
-24463364540	+	24463362211	=	-2329
17474989833	+	-17474992070	=	-2237
-15755162070	+	15755159834	=	-2236
80340143283	+	-80340145427	=	-2144
16450829485	+	-16450831628	=	-2143
-71401343761	+	71401341711	=	-2050
59511034358	+	-59511036407	=	-2049
-90935643945	+	90935641988	=	-1957
76170316141	+	-76170318097	=	-1956
46802360446	+	-46802362310	=	-1864
-8556926767	+	8556924904	=	-1863
46015645817	+	-46015647588	=	-1771
36192500375	+	-36192502145	=	-1770
47944786561	+	-47944788239	=	-1678
62672994268	+	-62672995945	=	-1677
-48942203145	+	48942201560	=	-1585
36943116289	+	-36943117873	=	-1584
-50533963159	+	50533961667	=	-1492
-96270447223	+	96270445732	=	-1491
96953963021	+	-96953964419	=	-1398
-77116906446	+	77116905049	=	-1397
-4931832434	+	4931831129	=	-1305
-96371286454	+	96371285150	=	-1304
54031900574	+	-54031901786	=	-1212
-56806198860	+	56806197649	=	-1211
70147954006	+	-70147955125	=	-1119
-9149503852	+	9149502734	=	-1118
